No;Date;Open;High;Low;Close;Volume;;;
389;Jul 19, 2022;1.707,10;1.708,50;1.699,50;1.699,50;130,00;;;
390;Jul 20, 2022;1.687,00;1.715,50;1.679,80;1.712,70;183,00;;;
391;Jul 21, 2022;1.713,30;1.735,00;1.713,00;1.727,10;61,00;;;
392;Jul 24, 2022;1.727,00;1.732,00;1.719,00;1.719,00;67,00;;;
393;Jul 25, 2022;1.718,00;1.718,00;1.717,70;1.717,70;1,00;;;
394;Jul 26, 2022;1.719,10;1.719,10;1.719,10;1.719,10;144.865,00;;;
395;Jul 27, 2022;1.732,30;1.755,00;1.732,00;1.750,30;37.236,00;;;
396;Jul 28, 2022;1.754,00;1.765,70;1.750,00;1.762,90;3.485,00;;;
397;Jul 31, 2022;1.763,90;1.772,50;1.756,10;1.769,00;705,00;;;
398;Aug 01, 2022;1.772,10;1.786,60;1.759,40;1.771,10;1.078,00;;;
399;Aug 02, 2022;1.756,70;1.770,50;1.753,00;1.758,00;399,00;;;
400;Aug 03, 2022;1.769,40;1.792,10;1.767,70;1.788,50;285,00;;;
401;Aug 04, 2022;1.791,20;1.791,40;1.764,20;1.772,90;645,00;;;
402;Aug 07, 2022;1.771,80;1.786,80;1.771,80;1.786,80;127,00;;;
403;Aug 08, 2022;1.790,00;1.796,10;1.789,00;1.794,00;249,00;;;
404;Aug 09, 2022;1.804,40;1.804,90;1.787,80;1.795,60;601,00;;;
405;Aug 10, 2022;1.794,30;1.794,30;1.785,70;1.789,70;1.235,00;;;
406;Aug 11, 2022;1.786,30;1.800,40;1.784,30;1.798,60;187,00;;;
407;Aug 14, 2022;1.799,00;1.799,00;1.774,70;1.781,40;64,00;;;
408;Aug 15, 2022;1.777,40;1.777,40;1.771,40;1.773,20;308,00;;;
409;Aug 16, 2022;1.769,70;1.769,70;1.760,00;1.760,30;23,00;;;
410;Aug 17, 2022;1.762,90;1.762,90;1.753,40;1.755,30;321,00;;;
411;Aug 18, 2022;1.753,70;1.754,30;1.747,50;1.747,60;49,00;;;
412;Aug 21, 2022;1.740,50;1.740,50;1.726,50;1.734,00;347,00;;;
413;Aug 22, 2022;1.738,00;1.748,90;1.731,90;1.746,80;509,00;;;
414;Aug 23, 2022;1.745,00;1.751,80;1.743,60;1.747,80;187,00;;;
415;Aug 24, 2022;1.761,60;1.761,80;1.755,00;1.757,70;172,00;;;
416;Aug 25, 2022;1.754,00;1.755,00;1.736,10;1.736,10;202,00;;;
417;Aug 28, 2022;1.732,40;1.741,20;1.732,10;1.736,60;950,00;;;
418;Aug 29, 2022;1.736,40;1.739,00;1.720,70;1.723,20;385,00;;;
419;Aug 30, 2022;1.718,30;1.720,90;1.708,50;1.712,80;2.133,00;;;
420;Aug 31, 2022;1.707,90;1.707,90;1.693,90;1.696,60;683,00;;;
421;Sep 01, 2022;1.703,40;1.715,70;1.703,10;1.709,80;182,00;;;
422;Sep 05, 2022;1.709,70;1.717,40;1.699,70;1.700,40;697,00;;;
423;Sep 06, 2022;1.694,80;1.715,30;1.694,70;1.715,30;651,00;;;
424;Sep 07, 2022;1.718,20;1.718,20;1.705,30;1.708,00;1.193,00;;;
425;Sep 08, 2022;1.719,20;1.720,00;1.712,80;1.716,20;635,00;;;
426;Sep 11, 2022;1.727,40;1.728,10;1.727,40;1.728,10;68,00;;;
